dataset,split,id,gold,pred,rouge_score,argument,stance,comment,comment_length
gayRights,4,gr42,"Homosexuality or, gender disorientation is a mental condition.","Homosexuality or, gender disorientation is a mental condition. Weather it be environmental, or genetic, because someone feels as if a specific kind of behavior is ""natural"" does not make it so.  You would not help a schizophrenic individual by giving them two cups of tea, one for them and one for their imaginary friend, so why then would you support two men or women getting married? This is what I dont understand. Can homosexuality be treated, maybe. Can it be studied, not objectively as Homosexuals dont want to be fixed they want to be accepted which I completely understand. However, you can accept the behavior without condoning it and this is what America is saying. Yes, you are free to do what you want, but we do not recognize it as being healthy and no, we will not legitimize it by recognizing it through one of our most wildly held social traditions. I believe society as a whole has this right and its important that we do.   On a separate note, I dont think the state should have anything to do with making laws with regards to marriage or recognizing them, however I stand by my original premise that at least attempting to correct the behavior is better than condoning it.",0.0731,Gay marriages are not normal/against nature.,Con,"Homosexuality or, gender disorientation is a mental condition. Weather it be environmental, or genetic, because someone feels as if a specific kind of behavior is ""natural"" does not make it so. I know I am going to get some blowback from people saying it was removed from the DSM and you are right, however the facts show that this was done under extreme political pressure and not because doctors dont believe that it is in fact a condition.   You would not help a schizophrenic individual by giving them two cups of tea, one for them and one for their imaginary friend, so why then would you support two men or women getting married? This is what I dont understand. Can homosexuality be treated, maybe. Can it be studied, not objectively as Homosexuals dont want to be fixed they want to be accepted which I completely understand. However, you can accept the behavior without condoning it and this is what America is saying. Yes, you are free to do what you want, but we do not recognize it as being healthy and no, we will not legitimize it by recognizing it through one of our most wildly held social traditions. I believe society as a whole has this right and its important that we do.   On a separate note, I dont think the state should have anything to do with making laws with regards to marriage or recognizing them, however I stand by my original premise that at least attempting to correct the behavior is better than condoning it.",1442
gayRights,5,gr394,"So, you'd let your squeamishness prevent two people from performing a ritual that harms no one and only strengthens their relationship? What kind of immoral douche are you to allow mere squeamishness to let you do something so selfish?","Since a ritual that binds two people together as life-mates has absolutely no harmful effect upon society, and since romantic love is regarded as a good thing, I'd like to know why disallowing gay marriage is a good thing.  If it's not harmful, why outlaw it?",0.1348,Gay marriage is like any other marriage.,Pro,"Since a ritual that binds two people together as life-mates has absolutely no harmful effect upon society, and since romantic love is regarded as a good thing, I'd like to know why disallowing gay marriage is a good thing.  If it's not harmful, why outlaw it? Because you're squeamish? So, you'd let your squeamishness prevent two people from performing a ritual that harms no one and only strengthens their relationship? What kind of immoral douche are you to allow mere squeamishness to let you do something so selfish?  Except, of course, people against gay marriage would say I'm wrong. Though I'm not. They are all just squeamish, and they use pointless excuses to try and reason away that they're just squeamish. But really, they're all just pointless excuses for you to justify your selfish behavior of wanting to stop people from loving each other to their fullest potential.  Shame on you.",898
gayRights,2,gr218,"Homosexuality is not a behavior, it's a sexual orientation. Gay sex is the behavior. We can and should repress bad behaviors, but gay sex is not a behavior bad enough to warrant repression.",expanding the legal definition of marriage to allow for gays would not be a radical change,0.16,People are born gay.,Pro,"To put it another way, marriages are what societies are made of just like bricks are what buildings are made of.   You could still have society without marriage. And even if that weren't true, expanding the legal definition of marriage to allow for gays would not be a radical change. More akin to changing the texture of the bricks.   doesn't sound like toleration or freedom. It sounds more like tyranny.   Was enforcing racial integration tyranny? No. There are times when tolerance is justified and times when it is not.   You assume that racial integration and gay marriage are morally equivalent.   No, I don't. But I think there are important similarities. Both skin color and sexual orientation are things that are part of ones identity. They cannot be changed. Neither makes a person inferior. Discrimination on the basis of either is logically unsound.   Please tell me how judging the color of ones skin is equivalent to judging the behavior of someone.   Again they are not the same, just similar. But saying homosexuality is a behavior is being intentionally misleading. It's like saying shouting is ""just a behavior"" and therefore people should repress their anger at all times. It's completely impractical and utterly disconnected from reality.   You wouldn't say it's a good thing?   I was referring to homosexuality, not gay marriage. Being gay is neither good nor bad, it's neutral. Gay marriage, on the other hand,  is good , because it shows acceptance of behavior for which we should be showing acceptance.   Yes, just like thieves and murderers should repress their desires for their entire lives.   Oh, wow, that's a pretty hardcore view. How is homosexuality anywhere near as bad as theft or murder? All I see is two people having sex. No harm done.   Some behaviors are detrimental to civilization and should be restrained for the greater good.   Agreed. But gay sex is not one of them.   Just ask the Roman Empire what happens when you let homosexuality be freely expressed.   Hahaha. You're a funny guy.   Telling people the are born gay and can't change kills hope for someones who's conscience is troubled.   Well, they  are  born gay and they  can't  change, so that's just telling them the truth. Why should their conscience be troubled? That would only make sense if they bought into all that Christian nonsense.   ...waving the magic wand of neutrality...   You wouldn't take seriously a pamphlet from Neo-Nazis about how Jews are inferior people would you? Do you not understand the importance of neutrality?   Homosexuality is a behavior, we don't choose our behaviors therefore you can't be free from bad behaviors.    Homosexuality is not a behavior, it's a sexual orientation. Gay sex is the behavior. We can and should repress bad behaviors, but gay sex is not a behavior bad enough to warrant repression.   you...deny the moral component in play and therefore deny the existence of a moral agent (a soul)   Morality does not come from anything supernatural. True morals are founded on logic, not on faith.",3045
gayRights,1,gr1,"all this time, those kids remain in the orphanage, when they could be in the hands of very loving, very caring, very responsible people who could give them a much better life, a much better education and much more to experience.","Here we have people that are begging to be parents and we're telling them ""you can't! we'd rather leave the kids in the orphanage than give them to you!""",0.1918,Gay parents can adopt and ensure a happy life for a baby.,Pro,"I've been reading the opposite side with a lot of interest and just like I expected, people have brought in a whole array of ""issues"" they have about homosexuality.   First I read about how the motives of the gay person are selfish   My response: WHO CARES? I see an old lady crossing the street. I help her cross over. Did I do it because I truly cared for her or did I do cause I wanted to feel good about myself? Does it matter? As long as I didn't help her because I wanted to steal her purse in the process then where is the harm???? So what if gays want to satisfy their parental instincts by caring for a child? How does that undermine the care and the love? Don't straight couples do the same? How many times have I heard straight couples saying that they will have children because that ""completes the family"", that they can't wait to be great mums or great dads. That's selfish too isn't it? But is it wrong? Hell no! I would be worried of someone didn't have that streak of selfishness in them. In my opinion, the people that make the best parents are the ones that wanted to be parents in the first place. Not just procreate, but BE PARENTS afterward. Here we have people that are begging to be parents and we're telling them ""you can't! we'd rather leave the kids in the orphanage than give them to you!""   Then it's about how it is unnatural for them to become parents because by definition they would be required to do something that is unnatural for them    Right, so, should we exclude all infertile individuals from the right to adopt?  Because the above argument basically implies that inability to conceive/procreate equals inability to perform as a parent, because nature didn't want you to become one in the first place. Isn't that ridiculous? The fact that we have children in foster care proves that the ability to conceive/procreate does not equal the ability to become a parent. So the two are clearly not cross linked.   Then it's about how it is no one's right to adopt because the only person that has authority over a child is the biological parent - only they can ""appoint"" someone to look after their child   Someone actually used the word ""property"", the child is the property of the biological parents and no institution should ever have the right bypass them and give the child to someone else.   Since when are human beings ""property""?  As a parent, all you have, is the responsibility to raise the child and provide for it. That's all you have. You don't posses a child. No one has possession of another human being, however young.   Now, I know for a fact that adoption agencies always look for people in the immediate or larger family that would foster the child. It's only when they have exhausted all those possibilities that the child is put up for adoption. In other words, no one in the family has offered to take over the responsibility! So it is then in the hands of the agency to find suitable parents from the general public. Let's be realistic, the family has absolved itself, or is not existent, or is mentally incapable. Now, I'm not saying everybody else then has the right to be their parent. But I think they do have the right to at least apply for the role, whether gay or straight.    But the child is going to be bullied!   Well, is that really an argument? If the kid is going to be bullied that's because the parents of the other children are bigoted and they have instilled that bigotry on their bully-kid. Kids are bullied everyday for being black, Muslim, Asian, tall, short, ginger etc etc. Does that mean we should take them away from their black, Muslim or ginger parents?   The reality is, these kids are spending their life in an orphanage. I find it funny how people who are otherwise unwilling to adopt them, think that they have the right to obstruct others who do. And they justify it with an array of bigoted crap. And all this time, those kids remain in the orphanage, when they could be in the hands of very loving, very caring, very responsible people who could give them a much better life, a much better education and much more to experience.",4119
gayRights,1,gr314,Gays are not born.,"Men can be attracted to Men.. BUT... Gay Marriage shouldn't be accepted. Think about it, What will happen if Gays are accepted? There will be an increasing amount of Gays. That will create population decrease everywhere, and that's going to lead to an end in the human population.",0.0741,Gay people have problems and create social issues.,Con,Gays are not born.  Any evidence pointing to that direction tends to be correlative and only applies to homosexuality in males...,129
gayRights,1,gr218,"saying homosexuality is a behavior is being intentionally misleading. It's like saying shouting is ""just a behavior"" and therefore people should repress their anger at all times. It's completely impractical and utterly disconnected from reality.","Well, they  are  born gay and they  can't  change, so that's just telling them the truth. Why should their conscience be troubled?",0.1311,Gay marriage is like any other marriage.,Pro,"To put it another way, marriages are what societies are made of just like bricks are what buildings are made of.   You could still have society without marriage. And even if that weren't true, expanding the legal definition of marriage to allow for gays would not be a radical change. More akin to changing the texture of the bricks.   doesn't sound like toleration or freedom. It sounds more like tyranny.   Was enforcing racial integration tyranny? No. There are times when tolerance is justified and times when it is not.   You assume that racial integration and gay marriage are morally equivalent.   No, I don't. But I think there are important similarities. Both skin color and sexual orientation are things that are part of ones identity. They cannot be changed. Neither makes a person inferior. Discrimination on the basis of either is logically unsound.   Please tell me how judging the color of ones skin is equivalent to judging the behavior of someone.   Again they are not the same, just similar. But saying homosexuality is a behavior is being intentionally misleading. It's like saying shouting is ""just a behavior"" and therefore people should repress their anger at all times. It's completely impractical and utterly disconnected from reality.   You wouldn't say it's a good thing?   I was referring to homosexuality, not gay marriage. Being gay is neither good nor bad, it's neutral. Gay marriage, on the other hand,  is good , because it shows acceptance of behavior for which we should be showing acceptance.   Yes, just like thieves and murderers should repress their desires for their entire lives.   Oh, wow, that's a pretty hardcore view. How is homosexuality anywhere near as bad as theft or murder? All I see is two people having sex. No harm done.   Some behaviors are detrimental to civilization and should be restrained for the greater good.   Agreed. But gay sex is not one of them.   Just ask the Roman Empire what happens when you let homosexuality be freely expressed.   Hahaha. You're a funny guy.   Telling people the are born gay and can't change kills hope for someones who's conscience is troubled.   Well, they  are  born gay and they  can't  change, so that's just telling them the truth. Why should their conscience be troubled? That would only make sense if they bought into all that Christian nonsense.   ...waving the magic wand of neutrality...   You wouldn't take seriously a pamphlet from Neo-Nazis about how Jews are inferior people would you? Do you not understand the importance of neutrality?   Homosexuality is a behavior, we don't choose our behaviors therefore you can't be free from bad behaviors.    Homosexuality is not a behavior, it's a sexual orientation. Gay sex is the behavior. We can and should repress bad behaviors, but gay sex is not a behavior bad enough to warrant repression.   you...deny the moral component in play and therefore deny the existence of a moral agent (a soul)   Morality does not come from anything supernatural. True morals are founded on logic, not on faith.",3045
gayRights,1,gr304,What exactly is immoral and irreligious about Homosexuality?,,0.0,People are born gay.,Pro,"Well the fact that it's wrong to be gay in the first place...   Why?   The fact that marriage is a religious ceremony..   Definitions of marriage  A: the social institution under which a man and woman establish their decision to live as husband and wife by legal commitments, religious ceremonies, etc.  B.a similar institution involving partners of the same gender: gay marriage.  2.  the state, condition, or relationship of being married; wedlock: a happy marriage.  3.   the legal  or  religious  ceremony that formalizes the decision of two people to live as a married couple, including the accompanying social festivities: to officiate at a marriage.  4.  a relationship in which two people have pledged themselves to each other in the manner of a husband and wife, without legal sanction: trial marriage.  5.  any close or intimate association or union: the marriage of words and music in a hit song.  6.  a formal agreement between two companies or enterprises to combine operations, resources, etc., for mutual benefit; merger.  7.  a blending or matching of different elements or components: The new lipstick is a beautiful marriage of fragrance and texture.   ...why would you bring something so immoral and irreligious into the picture?   What exactly is immoral and irreligious about Homosexuality?   You can call them butt-buddies, scissor-partners, bumchums etc. etc. but don't call them a married couple.   Can I, thanks. I will reference you when I need to be a bigot.",1485
gayRights,3,gr185,"An implication of Brown vs the Board of Education, and subsequent integration laws, permitted precedent for Lovings vs Virginia as an addendum to Brown, amending the definition of marriage, institutionally, to include interracial coupling, as a matter of civil rights.","Why does a different name make something un-equal?   You can't argue that people or institutions are equal and then legally, and definitionally prohibit one group from participating in the rits of another group. That's not equal. If people are on equal ground, then segregating their practices and institutions contradicts that equity. If they are equal, then there's no reason at all to segregate.",0.0935,Gay people should have the same rights as straight people.,Pro,"Well, segregation is kind of a bad word   There's nothing bad about it.   Marriage is in most places, defined as a man and a woman. So the best thing to do is create civil unions. It's really simple actually.   An implication of Brown vs the Board of Education, and subsequent integration laws, permitted precedent for Lovings vs Virginia as an addendum to Brown, amending the definition of marriage, institutionally, to include interracial coupling, as a matter of civil rights. Your point, as simple as it is, holds no weight. Lovings vs Virginia effectively trumps you.   Why does a different name make something un-equal?   You can't argue that people or institutions are equal and then legally, and definitionally prohibit one group from participating in the rits of another group. That's not equal. If people are on equal ground, then segregating their practices and institutions contradicts that equity. If they are equal, then there's no reason at all to segregate.",973
gayRights,3,gr293,How does any gay getting married effect any straight couple?,"All gays want is equality, and if the government stopped using the word marriage but instead used civil unions that would be  great",0.0606,Gay marriage is like any other marriage.,Pro,"Force themselves into a club where there not wanted?  How does any gay getting married effect any straight couple? Your argument, which you continue to repeat time and time again, is ridiculous, and you know it.  All gays want is equality, and if the government stopped using the word marriage but instead used civil unions that would be  great . Look at this  site  that advocates equal marriage rights. It gives a number of scenarios:   We want the Flag of Equal Marriage to be complete, with all 50 stars lit up. We see three routes to marriage equality, as we define it:  1. Every individual state could pass a law allowing same-sex marriage.  2. The federal government could repeal the Defense of Marriage Act and allow same-sex marriage at the federal level, overriding all state-level bans.  3. The term ""marriage"" could be removed from state and/or federal laws, turning all ""marriages"" into civil unions in the eyes of the government. PLUS, same-sex civil unions would need to be recognized in all 50 states or at the federal level.   So here you're arguing a straw man ""gays aren't being reasonable"" argument.  Back to the whole ""joining a club thing"" and why it's bullshit. When African-Americans and other minorities ""forced"" their way into predominately white institutions, and clearly weren't wanted, should they have stopped?  In addition, marriage isn't a club. There aren't members only meetings where only married people are allowed to get into, and married people don't have to do anything for other married couples. Marriage is the legal (and often religious/cultural) union of two people who love each other and intend to spend the rest of their lives together. So allow me to repeat: how does letting gays marry affect, even a little bit, straight married couples? What gives them the right to deny those who want to pursue happiness with the one they love, legal sanction to do so?  If this is the best argument that you can come up with for opposing gay marriage, maybe you need to reevaluate your position and realize how ridiculous you sound (even more so than usual).",2094
gayRights,2,gr486,gay people are allowed to marry people of the opposite sex and that they are thus not being discriminated against. Just because they chose not to marry people of the opposite sex is of no consequence because it is their choice not to exercise their right to marry someone of the opposite sex. They are not being discriminated against.,,0.0,Gay marriages are not normal/against nature.,Con,What jstantall is saying is that gay people are allowed to marry people of the opposite sex and that they are thus not being discriminated against. Just because they chose not to marry people of the opposite sex is of no consequence because it is their choice not to exercise their right to marry someone of the opposite sex. They are not being discriminated against. :),370
marijuana,2,ma317,"Feel free to discuss mind altering affects, but NOTHING in the world has a more negative affect on the mind than nicotine.","Just make it illiegal to sell to minors, and restrict minors from puchase and use...how is this any more harmful than a cigarette?",0.1304,Not addictive.,Pro,"Not at all. Just make it illiegal to sell to minors, and restrict minors from puchase and use...how is this any more harmful than a cigarette?  Feel free to discuss mind altering affects, but NOTHING in the world has a more negative affect on the mind than nicotine...trust me, I use both. I never waited for a guy to finish a joint so I could swoop in a finish the last few drags.",381
marijuana,5,ma198,Marijuana should have been legalized when alcohol was legalized.,"Yes, yes, yes, yes.  I think we could save so much time and money just by treating Marijuana like a mixture of Cigarettes and Alcohol.  You don't smoke in public places.  You don't drive while under the influence.  And we can tax it. I'd bet it would still be cheaper than today. It wouldn't be such a risk to transport and sell, and more people would be doing it.",0.0488,Not addictive.,Pro,"I totally agree. In addition to this argument, marijuana should be legal for many reasons. It would be financially beneficial for farmers to grow marijuana in their fields in the U.S. Instead of relying on prescription drugs, marijuana helps with medical conditions concerning: Glaucoma, arthritis, cancer, pain, nausea, AIDS, Multiple Sclerosis, Brain Injury/Stroke, Anti-Tumor Effects, Asthma, Epilepsy, Schizophrenia, Migraine, and eating disorders. It also helps with increased intelligence and focused attention. Marijuana should have been legalized when alcohol was legalized.",582
marijuana,5,ma272,"If someone wants to do it, they're going to do it whether or not it's legal (proof is everyone smoking pot today).","Yes, yes, yes, yes.  I think we could save so much time and money just by treating Marijuana like a mixture of Cigarettes and Alcohol.  You don't smoke in public places.  You don't drive while under the influence.  And we can tax it. I'd bet it would still be cheaper than today. It wouldn't be such a risk to transport and sell, and more people would be doing it.",0.0825,Prohibition violates human rights.,Pro,"Actually, I've smoked marijuana before and I never wanted to do it again. Sure, that's just me but come on. Are you really telling me that people who don't do it NOW are going to do it if it's legalized? If someone wants to do it, they're going to do it whether or not it's legal (proof is everyone smoking pot today). Anyways, how many people do you know to smoke pot? From the sound of it, everyone must, because you're saying that EVERYONE will be hooked on the stuff if it becomes legalized. I don't think that many people (including the person or people that will, 'cure cancer') want to waste their time smoking it. This is strictly from my point of view, and I'm only pointing out that there is a vast majority of people who do not smoke now. What does that mean? There will be (HOPEFULLY!) a vast majority of people who don't smoke, if and when marijuana becomes legalized. Just because a lot of people drink doesn't mean everyone does. Just because a lot of people smoke cigarettes doesn't mean every person does. And just because a lot of people overeat certainly does not mean that everyone does. Consider athletes, for example. I'm not so sure that if it actually is legalized everything will be perfect, but then again nothing is, really. If one looks at alcohol there is still a giant reoccuring problem with drinking and driving. Despite educational tools used in schools, teens still do it; even adults do. There will always be people who think they are capable of doing something they are clearly not.",1518
marijuana,4,ma103,"For the safety of all, I would say no, don't legalize it with the exception of those who are terminally ill and have been prescribed it to calm them and take away some of the pain.",in the wrong hands a person with an addictive mindset/personality WILL go past the joint or two over the week-end,0.1356,"If legalized, people will use marijuana and other drugs more.",Con,"Isn't that funny...I don't think your question had anything to do with HEMP being useful. I used to be a weed smoker in the 60's, 70's and 80's along with other things offered along the way. I never really drank so pot was a miracle to me. I've thought about it for many years and today we know a great deal about what we inhale or ingest than we did back then.  After all that wonderful thinking I came to the conclusion that weed should not be legalized because of the abuse factor and not for any other reason. If I was still out there partying like I did years ago, I'd probably enjoy a few tokes for a nice buzz and although marijuana itself does NOT lead to other drugs, in the wrong hands a person with an addictive mindset/personality WILL go past the joint or two over the week-end. Pot laced with what have you will send you reeling and there is plenty of stuff out there to lace it with. For the safety of all, I would say no, don't legalize it with the exception of those who are terminally ill and have been prescribed it to calm them and take away some of the pain.",1079
marijuana,5,ma13,i think it would be a perfect thing for the Gov't if legel. Pot heads would still buy it for any price and it would help lower our debt.,But if it were leaglized it would need to be controlled and stuff,0.186,Legalized marijuana can be controlled and regulated by the government.,Pro,i think it would be a perfect thing for the Gov't if legel. Pot heads would still buy it for any price and it would help lower our debt. But if it were leaglized it would need to be controlled and stuff. its still dangroud and adictive like beer and cigrattes,259
