dataset,split,id,gold,pred,rouge_score,argument,stance,comment,comment_length
gayRights,4,gr219,Its not our job to tell people what they should and shouldn't do with their life.,"Personally, I think love is equal, whether is in the form of a man and a woman, a man with a man, or a woman with a woman.",0.0889,Gay people should have the same rights as straight people.,Pro,"Personally, I think love is equal, whether is in the form of a man and a woman, a man with a man, or a woman with a woman.  Not to be judgmental, but one Christian belief is that God loves everyone, we are all his children.   Then when you turn on the TV, you see the very same people who believe that God loves everyone start riots about the gay marriage law passed. They keep saying that being homosexual is a sin, and an abomination.   As a wise man once told me: That issue is between that person and God. Its not our job to tell people what they should and shouldn't do with their life. If that person has sinned, then let them take it up with the Lord himself.  I'm not trying to be biased about the Christian faith, just the two things seem to go hand and hand with each other.",784
gayRights,2,gr78,Don't homosexuals deserve the right to have their love legally recognized?,The only way that we can fight homophobia is by showing people that homosexuals deserve the same rights as straight couples.,0.2424,Gay people should have the same rights as straight people.,Pro,"Here is why I disagree. In Arkansas, their was a law passed that banned people from adopting who were living with a sexual partner who they were not married to. This law had no other purpose then to stop homosexuals from adopting children. Right now Arkansas has more then three times more children that need adoption then there are available families to take them in, but guess what? Apparently taking away rights from homosexuals is more important. There is absolutely no proof that children who grow up in homosexual households suffer any sort of added mental problems. In fact, a court in Arkansas had  unanimously  agreed to overturn a ban on gay couples becoming foster parents because the reasons stated were, to be frank, bullshit.  The only way that we can fight homophobia is by showing people that homosexuals deserve the same rights as straight couples. I know you say yo don't hate gays, but why do you oppose gay marriage? Don't homosexuals deserve the right to have their love legally recognized? And don't say that there should be civil unions, that's the same thing telling African Americans they can drink from a water fountain, but not the same one as whites. Separate but equal can never be equal.",1217
gayRights,5,gr503,this doesn't directly have anything to do with homosexuality,That community should be having the same rights as we do. Why ban it because you don't like who they love?,0.125,Gay people should have the same rights as straight people.,Pro,"""The majority of gay relationships last shorter then 6 months.  Only 2.7% of gays have 1 partner throughout their whole life.  One study says they have 8 sexual partners per year.""  One study says they have 8 sexual partners per year.""  Why should these rights be granted?""  because it doesn't harm anyone, because this doesn't directly have anything to do with homosexuality. and also I highly doubt your sites for this are credible...  ""The goverment has no reason to grant these benefits. The goverment wants procreative type unions.""  if you want to live in a society that only lets us get to do stuff that benefits them, then why don't we go all the way, live, and sleep where they want, eat what, and when they want, to condition us to do what they want, since everything is about thier benefit.  ""The goverment has no reason to grant these benefits. The goverment wants procreative type unions.""  only being able to do it with who they want sounds awfully close to the image i'v painted above... what about peope that can't have kids? since we can't benefit off thier love, why should allow them to love?  ""Now, there are many economic benefits the goverment gives marriage, so this indicates they do this for certain goals they wish to accomplish, their goal: procreative type unions with child rearing. (6) as homosexuals cannot do this they fail.""  there are economic benefits yes, do you honestly believe that people only marry so that the government can pay them to have offspring? im sorry i would get married regardless if i was getting paid for it, and we shouldn't only be allowed to marry if it benefits them and not especially just because they are paying us to.  ""A common argument, and one that will likely be stated, is that banning SSM is discrimination. Actually, as marriage is about procreative type relationships then it isn't discrimination based off of sexuality, but rather nature. (7, 8) and have a procreative type relationship.""  defign nature? nature on an objective level is everything, and if we only do things in the name of nature than whats with all this technology, buildings, and artificial crap we humans have laying around? saying something is unnatural is as convincing as saying something is ""bad"". people don't know how trite the word ""nature"" really is, nature can be defigned as anything. therefore banning marriage for two people because YOU deem it unnatural is discrimination, and prejudice.  ""As Homosexuals can never produce children and/or have a procreative type relationship, then it is not discrimination as we bar them this right through nature.""  you can argue that we have the capabilities of sex in order to reproduce. however I don't see how homosexuality is hurting nature, and even though they can't do what through sex what sex is naturally there for, they're desires and needs are still natural and therefore is natural for them to pursue it.  ""Marriage in culture is usually viewed as a male and a female + children. As marriage is a large part of this culture, banning SSM is popular to common marriage stereotypes. (7, 8)""  yes to an extent, that is the first thing we think of when we think of marriage because marriage is about love and since heterosexuality is the norm, then when we think about love we automatically associate it with men and women. marriage is in culture more seen as a loving commitment, therefore if two people love each other, then isn't them marrying just part of the culture?  ""Further more for it to be in discriminating in effect is must be a right, as discrimination to a privilege is just.""  how can you believe that two people loving each other is not a right but something we just let them do? we are not allowed to love whoever we want?  ""As you must prove in the states eyes they deserve this ritual/legal ""right"" then my argument on rights is void, if you cannot prove in the states eyes they deserve this then you have lost.""  I do agree. that right or wrong in society is vague therefore we need to have it legalized in order for it to be allowed but that is only because we can't simply say that ""whatever doesn't harm anyone else is allowed and does harm others is not allowed."" because what harms or doesn't harm is subjective, therefore we created the political system we have in order to try and sort out all of the issues and together decide what is harmful and what isn't. illegalizing the right to love someone is discriminatory due to the fact that they aren't harming anyone, our government is not perfect and if people say that homosexuality is a problem then it will be treated like one, but it is not.",4620
gayRights,5,gr78,There is absolutely no proof that children who grow up in homosexual households suffer any sort of added mental problems,"There is absolutely no proof that children who grow up in homosexual households suffer any sort of added mental problems. In fact, a court in Arkansas had  unanimously  agreed to overturn a ban on gay couples becoming foster parents because the reasons stated were, to be frank, bullshit.  The only way that we can fight homophobia is by showing people that homosexuals deserve the same rights as straight couples.",0.4494,Gay parents can adopt and ensure a happy life for a baby.,Pro,"Here is why I disagree. In Arkansas, their was a law passed that banned people from adopting who were living with a sexual partner who they were not married to. This law had no other purpose then to stop homosexuals from adopting children. Right now Arkansas has more then three times more children that need adoption then there are available families to take them in, but guess what? Apparently taking away rights from homosexuals is more important. There is absolutely no proof that children who grow up in homosexual households suffer any sort of added mental problems. In fact, a court in Arkansas had  unanimously  agreed to overturn a ban on gay couples becoming foster parents because the reasons stated were, to be frank, bullshit.  The only way that we can fight homophobia is by showing people that homosexuals deserve the same rights as straight couples. I know you say yo don't hate gays, but why do you oppose gay marriage? Don't homosexuals deserve the right to have their love legally recognized? And don't say that there should be civil unions, that's the same thing telling African Americans they can drink from a water fountain, but not the same one as whites. Separate but equal can never be equal.",1217
gayRights,2,gr1,"The reality is, these kids are spending their life in an orphanage. I find it funny how people who are otherwise unwilling to adopt them, think that they have the right to obstruct others who do.","I think they do have the right to at least apply for the role, whether gay or straight",0.2593,Gay marriage is like any other marriage.,Pro,"I've been reading the opposite side with a lot of interest and just like I expected, people have brought in a whole array of ""issues"" they have about homosexuality.   First I read about how the motives of the gay person are selfish   My response: WHO CARES? I see an old lady crossing the street. I help her cross over. Did I do it because I truly cared for her or did I do cause I wanted to feel good about myself? Does it matter? As long as I didn't help her because I wanted to steal her purse in the process then where is the harm???? So what if gays want to satisfy their parental instincts by caring for a child? How does that undermine the care and the love? Don't straight couples do the same? How many times have I heard straight couples saying that they will have children because that ""completes the family"", that they can't wait to be great mums or great dads. That's selfish too isn't it? But is it wrong? Hell no! I would be worried of someone didn't have that streak of selfishness in them. In my opinion, the people that make the best parents are the ones that wanted to be parents in the first place. Not just procreate, but BE PARENTS afterward. Here we have people that are begging to be parents and we're telling them ""you can't! we'd rather leave the kids in the orphanage than give them to you!""   Then it's about how it is unnatural for them to become parents because by definition they would be required to do something that is unnatural for them    Right, so, should we exclude all infertile individuals from the right to adopt?  Because the above argument basically implies that inability to conceive/procreate equals inability to perform as a parent, because nature didn't want you to become one in the first place. Isn't that ridiculous? The fact that we have children in foster care proves that the ability to conceive/procreate does not equal the ability to become a parent. So the two are clearly not cross linked.   Then it's about how it is no one's right to adopt because the only person that has authority over a child is the biological parent - only they can ""appoint"" someone to look after their child   Someone actually used the word ""property"", the child is the property of the biological parents and no institution should ever have the right bypass them and give the child to someone else.   Since when are human beings ""property""?  As a parent, all you have, is the responsibility to raise the child and provide for it. That's all you have. You don't posses a child. No one has possession of another human being, however young.   Now, I know for a fact that adoption agencies always look for people in the immediate or larger family that would foster the child. It's only when they have exhausted all those possibilities that the child is put up for adoption. In other words, no one in the family has offered to take over the responsibility! So it is then in the hands of the agency to find suitable parents from the general public. Let's be realistic, the family has absolved itself, or is not existent, or is mentally incapable. Now, I'm not saying everybody else then has the right to be their parent. But I think they do have the right to at least apply for the role, whether gay or straight.    But the child is going to be bullied!   Well, is that really an argument? If the kid is going to be bullied that's because the parents of the other children are bigoted and they have instilled that bigotry on their bully-kid. Kids are bullied everyday for being black, Muslim, Asian, tall, short, ginger etc etc. Does that mean we should take them away from their black, Muslim or ginger parents?   The reality is, these kids are spending their life in an orphanage. I find it funny how people who are otherwise unwilling to adopt them, think that they have the right to obstruct others who do. And they justify it with an array of bigoted crap. And all this time, those kids remain in the orphanage, when they could be in the hands of very loving, very caring, very responsible people who could give them a much better life, a much better education and much more to experience.",4119
gayRights,5,gr428,You or no one else has the right to judge or to delegate to me who I decide to have in my bed.,"I never had any attraction to the opposite sex, not even as a small child. I did not wake up one day and say, ""oh , I want to be gay today"". Our lives are very hard because of the ignorance of some people in society.",0.1176,Gay people should have the same rights as straight people.,Pro,"Being Gay is NOT a disease buddy. You should do yuour research before you decide to voice a remark as that!! Being stright is who you are. I never had any attraction to the opposite sex, not even as a small child. I did not wake up one day and say, ""oh , I want to be gay today"". Our lives are very hard because of the ignorance of some people in society. mabey discrimination is a disease or mabey you yourself has issues with your own sexuality and hoping for some magical ""gay cure"" that will help you with your own sexual insecurites.   remember , GOD made us in his vision. You or no one else has the right to judge or to delegate to me who I decide to have in my bed.",673
marijuana,1,ma235,"About alcohol, I'm just saying it's crazy that weed is illegal and alcohol isn't.","But if I had to choose between alcohol and weed to be illegal I would choose alcohol for sure.   And I agree about the money it could make, I had that discussion with ReichPride and changed my mind.",0.1818,Legalized marijuana can be controlled and regulated by the government.,Pro,"Lol well, I think it's the other way around about the fast food thing. Almost impossible to like  marijuana  and not like  fast food . (;   About alcohol, I'm just saying it's crazy that weed is illegal and alcohol isn't. Doesn't necessarily mean it should be illegal. The government shouldn't worry about what we consume. But if I had to choose between alcohol and weed to be illegal I would choose alcohol for sure.   And I agree about the money it could make, I had that discussion with ReichPride and changed my mind.",521
marijuana,3,ma411,"What I meant was LSD may have some health benefits, but it also causes mental disturbances and marijuana doesn't. So the two substances can't really be compared.",marijuana doesn't,0.1875,Does not cause any damage to our bodies.,Pro,"I'm not sure what you mean. You said the health benefits weren't enough to justify legalization and gave LSD as an example. What I meant was LSD may have some health benefits, but it also causes mental disturbances and marijuana doesn't. So the two substances can't really be compared.",285
marijuana,3,ma103,I came to the conclusion that weed should not be legalized because of the abuse factor,in the wrong hands a person with an addictive mindset/personality WILL go past the joint or two over the week-end,0.1053,Highly addictive.,Con,"Isn't that funny...I don't think your question had anything to do with HEMP being useful. I used to be a weed smoker in the 60's, 70's and 80's along with other things offered along the way. I never really drank so pot was a miracle to me. I've thought about it for many years and today we know a great deal about what we inhale or ingest than we did back then.  After all that wonderful thinking I came to the conclusion that weed should not be legalized because of the abuse factor and not for any other reason. If I was still out there partying like I did years ago, I'd probably enjoy a few tokes for a nice buzz and although marijuana itself does NOT lead to other drugs, in the wrong hands a person with an addictive mindset/personality WILL go past the joint or two over the week-end. Pot laced with what have you will send you reeling and there is plenty of stuff out there to lace it with. For the safety of all, I would say no, don't legalize it with the exception of those who are terminally ill and have been prescribed it to calm them and take away some of the pain.",1079
marijuana,1,ma338,"Did you know that if cannabis were legalized that it could replace the lumber industry with a renewable, green house resource? It requires no pesticides to grow, the pesticides companies don't like that. Big lumber are the guys who got the crop made illegal back in 1937.","If the drug were controlled, distributed legally and taxed. The levels could be monitored, the dealers, many of whom are dealing in harder drugs and offering those up too would be out of business overnight. This would sever the link some users have who are suggestable to moving onto harder drugs. Also de-criminalising the drug will make it easier to treat people who do end up abusing it and need help.",0.15,Does not cause any damage to our bodies.,Pro,"I think you aren't well educated on what cannabis can actually do for society.  Did you know that if cannabis were legalized that it could replace the lumber industry with a renewable, green house resource? It requires no pesticides to grow, the pesticides companies don't like that. Big lumber are the guys who got the crop made illegal back in 1937. Crashes under impairment would likely go down, as many bars might adopt marijuana instead of alcohol. Orp people might start smoking instead of drinking. Studies have shown that impairment while driving (while not encouraged ,and should have a limit, like alcohol. Keep in mind we didn't develop one before re-legalizing it in 1937.) Other studies show that cannabis going illegal at the same time alcohol became legal again was a gift to organized crime.  See, organized crime didn't exist the way it did (or at all) before alcohol prohibition. That literally changed the face of our nation. Marijuana and other drug prohibition changed everything as well. It (marijuana) is responsible for 70% of Drug Cartel income. We can end that with legalization.  Industrial benefits of hemp: Can make 2x4 and other building material that is 2-4x stronger than wood. Lasts longer.  25,000 different products, 5,000 known textiles (That was in 1938!). They are looking into making polymer with it. Like those high grade plastics used in, well, almost everything. From guns to blow dryers, etc. etc. This would make a more environmentally-friendly version.  Same with paper, our Constitution is written on hemp paper. George Washington smoked hemp, and grew it, even telling others to do it. Benjamin Franklin had a hemp paper mill. And news press. Hemp paper is the highest quality paper in the world. And completely renewable and eco-friendly. Industrial hemp can be grown en-mass with very little THC, making thieves unlikely. Plus it could be grown as a number one cash crop from Cali to Utah to Nebraska and most of the Bible-belt states.  Did I mention you can build the body for a car using hemp polymer? Even space shuttles and planes! Then you can fuel them using hemp-fuel that has ZERO carbon emissions.  ""Why isn't it legal if it's so great?"" You ask? Well, it's simple. Big biz, Pharm, Tobacco (although they will be changing their mind, surely), alcohol, lumber, oil, people who in the pocket of the cartels, etc. Don't want that. Enough of them got enough people tricked to keep this going for years.  Recent tests also show that smoking or inhaling, or otherwise ingesting cannabis can increase your brain cell growth. In 40 years of constant usage no user of just marijuana has ever gotten cancer or otherwise ill effects. Something would have shown up.  Dr. Lester Grinspoon, MD  Professor Emeritus, Harvard Medical School  ""There are no deaths from cannabis""  -Can be seen in the documentary ""The Union: The Business of Getting High""  Watch that on TopDocumentryFilms.com and then research and judge for yourself. Please!",2981
marijuana,4,ma13,i think it would be a perfect thing for the Gov't if legel. Pot heads would still buy it for any price and it would help lower our debt.,But if it were leaglized it would need to be controlled and stuff,0.186,Legalized marijuana can be controlled and regulated by the government.,Pro,i think it would be a perfect thing for the Gov't if legel. Pot heads would still buy it for any price and it would help lower our debt. But if it were leaglized it would need to be controlled and stuff. its still dangroud and adictive like beer and cigrattes,259
marijuana,2,ma258,"I don't think so because according to The National Institute on Drug Abuse (NIDA) states that marijuana smokers experience respiratory disturbances similar to tobacco smokers, including coughs and lung infections.","marijuana smokers experience respiratory disturbances similar to tobacco smokers, including coughs and lung infections. Also like tobacco, marijuana may increase the risk of heart attack due to its ability to raise blood pressure and heart rate",0.4179,Used as a medicine for its positive effects.,Pro,"I don't think so because according to The National Institute on Drug Abuse (NIDA) states that marijuana smokers experience respiratory disturbances similar to tobacco smokers, including coughs and lung infections. Also like tobacco, marijuana may increase the risk of heart attack due to its ability to raise blood pressure and heart rate.  Medically, marijuana has shown some promise in relieving pain and increasing appetite. The American Medical Association states that further research should be carried out to assess the use of marijuana for medical purposes. How can person be happy if he is ill or suffer? happiness just for a while :D If they will legalize cannabis what will be how do you think? I think our state will not be in 50 of developed countries , because no one will care of that, can you see that countries where cannabis is legalized? what is your position, i don't think that with help of your arguments they can help drug addicted people be happy , it's funny ...",986
marijuana,2,ma246,"Prisons are filled with people who do NOT deserved to be locked up, and we are wasting tax dollars on incarcerating them.","Several birds will be hit with one stone...   1.) Money that goes to fund dangerous drug cartels could be going to our national debt.   2.) Marijuana has killed no one! Alcohol accounts for thousands of deaths annually and is far worse for your body than is Mary J.  3.) Prisons are filled with people who do NOT deserved to be locked up, and we are wasting tax dollars on incarcerating them.",0.4731,Not addictive.,Pro,"Just say no just doesn't work! Prohibition is a failed policy, as proven in the 20's. People are going to get high, some for medical purposes, others for recreation. But the fact is people will get high!!! Several birds will be hit with one stone...   1.) Money that goes to fund dangerous drug cartels could be going to our national debt.   2.) Marijuana has killed no one! Alcohol accounts for thousands of deaths annually and is far worse for your body than is Mary J.  3.) Prisons are filled with people who do NOT deserved to be locked up, and we are wasting tax dollars on incarcerating them.",598
marijuana,4,ma131,It is a drug. people think chocane or steroids are good for them but it is terrible,It is a drug.,0.381,Highly addictive.,Con,NO NO NO.It is a drug. people think chocane or steroids are good for them but it is terrible. It causes negative effects on the human body. Some times people get so drugged they don't realize they killed people.,211
obama,2,oba214,"Regardless, he's making an effort, and being blocked off, for no real reason.","and hasn't done shit to stop everything with Iran. I also remember watching a 2008 video of him speaking for ending the war on weed, yet it's only gotten worse, from what I've heard.",0.0784,Fixed the economy.,Pro,"That's more like it, recognizing that he's not such a Messiah after all. That's all I wanted.   Just to make you happy, I don't really like Obama that much, he's failed in a lot of aspects that I thought he'd do better, drones in Pakistan and others, hasn't pushed Republicans far enough to help the economy, and hasn't done shit to stop everything with Iran. I also remember watching a 2008 video of him speaking for ending the war on weed, yet it's only gotten worse, from what I've heard. I just don't like people calling him the devil, because he isn't.   Money isn't spent on less taxing. that just means there is less money to spend.   Debt is created by a deficit. Less taxing means more debt.   And increased welfare spending is not the answer, as LBJ and Nixon have shown. Instead, proposals by Bill Clinton, JFK, and Reagan have gotten more people off of government dependence and more independent, as well as leaving room for the private sector to increase wealth for all Americans (as it historically does).   Increased welfare spending was mandatory, it takes years to change the systems, and as far as I'm aware, it largely falls outside of his mandate (state law, not federal, I'd assume?).   If the bad lot doesn't include Ron Paul and Gary Johnson, both for completely ending the turmoil in the Middle East, you'd be right.   As I've said before, I like this part of them, but disagree with others. If I could mix and match, I could find most of my views in US politicians, I just can't find anyone who has all of them in one.   Not compared to the debt and massive spending that it's trying to quell   Agreed. Regardless, he's making an effort, and being blocked off, for no real reason.   False   Whilst I agree that there was a large extent of government failure after deregulation, were there not deregulation in the first place, there would not have been the opportunity for CBO's, the abuse of the housing market, and the reckless behaviour that you described. You wish to completely deregulate the banks? This seems unwise, bankers operate in their own self interest, not in that of the bank, and not in that of the country. Remember that the heads of banks who brought about the recession got hundreds of millions of dollars, that sort of behaviour would only become more common, with people not being held responsible for their actions.   Based on the assertions of Catholic Bishops?   I was simply using them as an example. I have many complaints of Republican behaviour, and I can only imagine that this budget is just more of the same.",2564
obama,1,oba402,"the odds of anyone chalenging him in 2012 who is of similar calibre are pretty close to non-existent. Especially from the GOP, where people operating at that level frankly simply do not exist right now and couldn't win a primary against the ""Tea Baggers"" even if they did.",He's doing fine. Alot better than the last one we had.,0.0645,Better than the republican candidates.,Pro,"He's shaping up to be possibly a top 10 president if he continues on the path he's followed so far... the odds of anyone chalenging him in 2012 who is of similar calibre are pretty close to non-existent. Especially from the GOP, where people operating at that level frankly simply do not exist right now and couldn't win a primary against the ""Tea Baggers"" even if they did.",374
