dataset,split,id,gold,pred,rouge_score,argument,stance,comment,comment_length
gayRights,4,gr149,Men sexually attracted to other men and vice versa is a type of sexual disorientation.,"Homosexuality is an act of gay sex, not gay love. Two men or women can love each other and not engage in gay sex. Men sexually attracted to other men and vice versa is a type of sexual disorientation. It can be the result of childhood or adult trauma, genetic hormonal imbalance's, environmental variables, the list is endless.   Forget throwing fuel on the fire, lets start researching the causes of homosexual behavior and find ways to treat the condition instead of pretending like its a matter of choice because to be honest, I dont know any Gay men who would choose to be gay in todays social climate.",0.2419,Gay people have problems and create social issues.,Con,"Words are very powerful Jessald. Try walking into a crowded room and yelling fire, or walk through Watts, Los Angeles and yell out the ""n"" word.   Homosexuality is an act of gay sex, not gay love. Two men or women can love each other and not engage in gay sex. I have many male friends I have known for a long time that I love very deeply however I am not sexually attracted to them.   Men sexually attracted to other men and vice versa is a type of sexual disorientation. It happens all throughout the world in many different species however humans have the ability to correct behavior as apposed to the animal kingdom which is in some ways what makes us stand out. It can be the result of childhood or adult trauma, genetic hormonal imbalance's, environmental variables, the list is endless.   Forget throwing fuel on the fire, lets start researching the causes of homosexual behavior and find ways to treat the condition instead of pretending like its a matter of choice because to be honest, I dont know any Gay men who would choose to be gay in todays social climate.",1072
gayRights,3,gr242,i supported is that of Shadowwolf when he stated that men and women should fall in love.,"In stated this sense in my first argument.   When i created my first argument, the thought of marriage didn't come to mind. I understand that is weird because that word is in the title of this debate. And i find it weird. I replied supportingly, but not one hundred percent supportingly, that men and women should be attracted to each other. I comment that i supported is that of Shadowwolf when he stated that men and women should fall in love. In response, ignorantly percieved that comment as that men and women should be attracted to one another.   I provided senses in which this attraction is right and wrong.  Edit. I now believe that my comment was a little off topic. When i think of marriage, i think of children. However, if the thought of children wasn't implied by the author, my comment should be dismissed.",0.2061,Gay marriages are not normal/against nature.,Con,"It is not wrong to get ""married."" However, in that logic and mind, it is wrong to live in a perspective of not producing children when overpopulation isn't met. It is ""naturally wrong"" to have an infertile body when you can't produce an offspring...in one sense. In stated this sense in my first argument.   When i created my first argument, the thought of marriage didn't come to mind. I understand that is weird because that word is in the title of this debate. And i find it weird. I replied supportingly, but not one hundred percent supportingly, that men and women should be attracted to each other. I comment that i supported is that of Shadowwolf when he stated that men and women should fall in love. In response, ignorantly percieved that comment as that men and women should be attracted to one another.   I provided senses in which this attraction is right and wrong.  Edit. I now believe that my comment was a little off topic. When i think of marriage, i think of children. However, if the thought of children wasn't implied by the author, my comment should be dismissed.",1084
gayRights,5,gr499,Homosexuals getting married in a civil ceremony and being viewed only legally should not enrage the religious.,"My last point on this farcical debate is that Homosexuals getting married in a civil ceremony and being viewed only legally should not enrage the religious. Religious people regard their marriage as a bond put together by their God as this is not the case of Homosexual marriage why would it matter, as they will be judged by whichever God the religious person is prescribing to, which should make them more comfortable with it as they should know that punishment will be served. I do not believe in any God or follow any religion therefore the comments I just made are purely an appeal to logic.",0.2764,Religion should not be used against gay rights.,Pro,"No it means that their morals can still be applied today.   Which ones are you referring to, the Greeks or the Romans?   Not many of these cultures did.    http://greek-history.suite101.com/ article.cfm/women_in_ancient_greece     http://www.buzzle.com/articles/ women-in-the-ancient-chinese- culture.html     Gay people shouldn't impose their way of life to normal people   Define a normal person, last I checked everyone was different and all people are too be treated as equals.   They can do what they want behind closed doors and maybe normal people can overlook   Is there homosexual people doing anything overtly sexual in front of you all the time? Why should they have to hide and you not?    But sitting their justifying their sinful acts is disgraceful and disgusting.   It is a pity you feel this way as I guess it is only going to become easier for Gay people to go about their lives as straight people do.   My last point on this farcical debate is that Homosexuals getting married in a civil ceremony and being viewed only legally should not enrage the religious. Religious people regard their marriage as a bond put together by their God as this is not the case of Homosexual marriage why would it matter, as they will be judged by whichever God the religious person is prescribing to, which should make them more comfortable with it as they should know that punishment will be served. I do not believe in any God or follow any religion therefore the comments I just made are purely an appeal to logic.",1518
gayRights,1,gr469,I believe that it is wrong.,If I don't want my kids being taught that homosexuality is normal or okay why should I have to worry about it?   I believe that it is wrong. In a democracy if the majority believe that something is wrong then it is fair. The minority can get over it or move to another country.,0.1967,Religion does not permit gay marriages.,Con,"""Saying that this country allows oppression is a false accusation? You need to read over American history again. The slaughter of Native Americans, slavery, segregation, Japanese internment camps are all particularly relevant.""   Thats  exactly  why I said  ""going on right now"" . Do you remember that? Or do you have selective reading?   As for the video, I see where you are coming from with the 'fear mongering'. But the thing is, everything in that video is true. If I don't want my kids being taught that homosexuality is normal or okay why should I have to worry about it?   I believe that it is wrong. In a democracy if the majority believe that something is wrong then it is fair. The minority can get over it or move to another country. Instead of fear mongering and saying that religion is bad because it will oppress you.",832
gayRights,1,gr234,It's about two people who are in love making a lifelong commitment to each other.,,0.0,People are born gay.,Pro,"Says who? Why?  Your statement can't even be considered an argument because you just say something without backing it up. Marriage is about so much more then having kids. It's about two people who are in love making a lifelong commitment to each other.  How about this...go to a wedding. See how many times children are mentioned in the ceremony. Assuming it's a typical wedding, the answer would be none.  How about people who are infertile...should they not get married either?  Your arguments make no sense, and lead me to believe you haven't really thought critically about these issues at all.",598
gayRights,5,gr278,Go to a country with morals and you'll see that marriage is between man and wife and that it is a religious ceremony.,But irregardless it is between a man and wife.  You cannot have a man and man or woman and woman or transexual and transexual or brother and sister or brother and father or brother and mother or sister and father or sister and mother or sister and sister or brother and brother or paedophile and young person or dead body and necrophile or a dog and a bestiality person.,0.1505,Gay marriages are not normal/against nature.,Con,"Definitions of marriage  This is where it might hurt your head.  The dictionary isn't always right. The dictionary is written by a bunch of people that give the definition of words as they see it. You go to a different country and several words have different meanings. Go to a country with morals and you'll see that marriage is between man and wife and that it is a religious ceremony. However in this new day and age (i agree) it doesn't have to be purely religious. But irregardless it is between a man and wife.  You cannot have a man and man or woman and woman or transexual and transexual or brother and sister or brother and father or brother and mother or sister and father or sister and mother or sister and sister or brother and brother or paedophile and young person or dead body and necrophile or a dog and a bestiality person.  You see what I'm getting at?   What exactly is immoral and irreligious about Homosexuality?.   Lol you being serious?   Can I, thanks. I will reference you when I need to be a bigot.   Blah blah blah anybody that isn't accepting of all types of peoples is a bigot. Have fun advocating paedophilia.  I'm not going to bother claling you a sick fuck cause I think all of you guys know you are...  I need to come up with a new accurate word to describe you queers.",1302
marijuana,5,ma116,Guess what does though. Alcohol which you think should be legal.,Smoking marijuana does not cause brain damage.,0.1111,Not addictive.,Pro,"The number of deaths due to marijuana is not low, it is 0. I don't care how impossible you think it is, try and find one death due to marijuana. If it was as dangerous as you seem to think it is surely it should be easy to find one.   ""And pot is addicting. I know people, on a personal level, who are addicted to marijuana. You cannot deny that. ""   Unless you are a doctor you are not qualified to diagnose an addiction in someone. And are you really going to try to use anecdotal evidence to combat scientific claims that it is not physically addictive. Just because someone does something a lot does mean it is addictive, that is a common misconception.  No you didn't come up with a negative factor of marijuana that it does not share with tobacco or alcohol, you came up one they share but said it is worse with marijuana, which it isn't anyway. Come up with something unique to marijuana, do you know what that word means?  It has never been proven that cigarette smoke causes cancer? You are joking right?  You think that inhalation of marijuana smoke can lead to cerebral hypoxia? Unless you inhale almost pure smoke continuous for a few minutes that can't happen. Smoking marijuana does not cause brain damage. Guess what does though. Alcohol which you think should be legal.   How do you think doing a few bong hits leads to complete brain oxygen depletion for any amount of time whatsoever let alone an hour?  The website you are citing is exclusively referring to tobacco smoke. So all you are doing by citing it is furthering your hypocrisy.",1555
marijuana,1,ma163,"While cigarettes and alcohol are incredibly addictive, yet you seem to be okay with them.","I will say it isn't addictive because it is not physically addictive. I don't care how much anecdotal evidence you have, it has been proven to not be physically addictive.",0.1702,Legalized marijuana can be controlled and regulated by the government.,Pro,"""I'm sure a lot of people would go out and buy it to try it or buy it to continue their addictions""   Once again you have nothing but speculation to back that up. This didn't happen with prohibition of alcohol and it didn't happen when Amsterdam legalized marijuana and it didn't happen when Portugal decriminalized all drugs.   ""don't say it's not addicting. I know people that are addicted""   I will say it isn't addictive because it is not physically addictive. I don't care how much anecdotal evidence you have, it has been proven to not be physically addictive. While cigarettes and alcohol are incredibly addictive, yet you seem to be okay with them.   ""Worst case scenario, half the population would go out and buy it, get high and wreak havoc on America.""   You are completely making that proportion up. It is based on absolutely no evidence. You would be just a justified if you literally picked a random number because that is basically what you did.  And what havoc do you think people wreak on America that do it now. Once again as you failed to acknowledge marijuana does not cause reckless and uncontrollable actions like alcohol does. Yet once again I doubt you support the prohibition of alcohol.   ""Productivity would go down""   And again another statement based totally on social stigma and no actual evidence.  I challenge you to cite one negative result of legalizing marijuana that does not apply to alcohol or cigarettes that you actually have a shred of evidence. I really don't think you can come up with a single one. If you can, prove me wrong. Once again it cannot also apply to alcohol or cigarettes and must be have evidence. Don't speculate or provide anecdotal evidence.",1701
marijuana,4,ma17,I had long been prohibited and smoking and everything else that poisons our lives.,It was not and will not be better than cigarettes and alcohol.,0.1538,Damages our bodies.,Con,"sorry how understand this ""it is better for you than cigarettes.."" It was not and will not be better than cigarettes and alcohol. it is enough that we breathe. Legalization is the easiest way to solve the problem, not the case. I assure you. I had long been prohibited and smoking and everything else that poisons our lives. And life is difficult without the marijuana. Can not we just enjoy life without all these... and about God ... God only wants us all check and, in general, he created and did not say for what ....",521
marijuana,2,ma374,"Yeah, but what about alcohol and tobacco? It's OK for those substances to be legal?","Sure, it's harmful for their bodies but who are we to say what they can and cannot do to themselves?",0.2162,Not addictive.,Pro,"Yeah, but what about alcohol and tobacco? It's OK for those substances to be legal? Some people like to use recreational drugs because it gives them a different perspective of things. Sure, it's harmful for their bodies but who are we to say what they can and cannot do to themselves? Personally I'd prefer more stoners around than all the murders that occur because of the illegal trafficking.",394
marijuana,3,ma338,"Did you know that if cannabis were legalized that it could replace the lumber industry with a renewable, green house resource? It requires no pesticides to grow, the pesticides companies don't like that. Big lumber are the guys who got the crop made illegal back in 1937.","if it was wrong, they would not give it to you at the HOSPITAL... and it has not ever effected anyone I've known in a negative way. after you have tried it, then say something about it.",0.1395,Does not cause any damage to our bodies.,Pro,"I think you aren't well educated on what cannabis can actually do for society.  Did you know that if cannabis were legalized that it could replace the lumber industry with a renewable, green house resource? It requires no pesticides to grow, the pesticides companies don't like that. Big lumber are the guys who got the crop made illegal back in 1937. Crashes under impairment would likely go down, as many bars might adopt marijuana instead of alcohol. Orp people might start smoking instead of drinking. Studies have shown that impairment while driving (while not encouraged ,and should have a limit, like alcohol. Keep in mind we didn't develop one before re-legalizing it in 1937.) Other studies show that cannabis going illegal at the same time alcohol became legal again was a gift to organized crime.  See, organized crime didn't exist the way it did (or at all) before alcohol prohibition. That literally changed the face of our nation. Marijuana and other drug prohibition changed everything as well. It (marijuana) is responsible for 70% of Drug Cartel income. We can end that with legalization.  Industrial benefits of hemp: Can make 2x4 and other building material that is 2-4x stronger than wood. Lasts longer.  25,000 different products, 5,000 known textiles (That was in 1938!). They are looking into making polymer with it. Like those high grade plastics used in, well, almost everything. From guns to blow dryers, etc. etc. This would make a more environmentally-friendly version.  Same with paper, our Constitution is written on hemp paper. George Washington smoked hemp, and grew it, even telling others to do it. Benjamin Franklin had a hemp paper mill. And news press. Hemp paper is the highest quality paper in the world. And completely renewable and eco-friendly. Industrial hemp can be grown en-mass with very little THC, making thieves unlikely. Plus it could be grown as a number one cash crop from Cali to Utah to Nebraska and most of the Bible-belt states.  Did I mention you can build the body for a car using hemp polymer? Even space shuttles and planes! Then you can fuel them using hemp-fuel that has ZERO carbon emissions.  ""Why isn't it legal if it's so great?"" You ask? Well, it's simple. Big biz, Pharm, Tobacco (although they will be changing their mind, surely), alcohol, lumber, oil, people who in the pocket of the cartels, etc. Don't want that. Enough of them got enough people tricked to keep this going for years.  Recent tests also show that smoking or inhaling, or otherwise ingesting cannabis can increase your brain cell growth. In 40 years of constant usage no user of just marijuana has ever gotten cancer or otherwise ill effects. Something would have shown up.  Dr. Lester Grinspoon, MD  Professor Emeritus, Harvard Medical School  ""There are no deaths from cannabis""  -Can be seen in the documentary ""The Union: The Business of Getting High""  Watch that on TopDocumentryFilms.com and then research and judge for yourself. Please!",2981
marijuana,5,ma276,Our world will not become more advanced because everyone who was one smart is now a pot head!,"If everyone were to become pot attics they would become more and more addicting up to the point that all they want to do is smoke pot. Allot of people are probably reading this and thinking that i am completly wrong, but the fact of the matter is that if you smoke pot long enough your mind will strictly be wrapped around trying to get high. With that said, how will our society progress if every has their minds on obtaining pot. Our world will not become more advanced because everyone who was one smart is now a pot head! Who will be the guy to cure cancer if everyone is on pot?? ",0.2748,Responsible for brain damage.,Con,"The reasons for why pot should be legalized are all legitamite but people are only looking at the big picture. Sure it can benifet society in many ways but their are so many down sides to legalizing pot. If everyone were to become pot attics they would become more and more addicting up to the point that all they want to do is smoke pot. Allot of people are probably reading this and thinking that i am completly wrong, but the fact of the matter is that if you smoke pot long enough your mind will strictly be wrapped around trying to get high. With that said, how will our society progress if every has their minds on obtaining pot. Our world will not become more advanced because everyone who was one smart is now a pot head! Who will be the guy to cure cancer if everyone is on pot??",788
marijuana,4,ma50,the only way i could see someone thinking that marijuanna is a medicine would be if your high when you say that.,"I personally think that if they legalize it, then The United States will sooner or later fall apart.",0.2,"If legalized, people will use marijuana and other drugs more.",Con,"I agree. I hate how their's so many shows nowadays about how pot should be legalized or how theirs shows that show the medical pot stores in california and how pople hold rallies and riot to try and get pot legalized. I have smoked pot atleast 150+ times in my life(i haven't smoked pot in atleast 7+ months, and have only smoked it 4 times in the last 4 years), so i know what it's like to be high, and the only way i could see someone thinking that marijuanna is a medicine would be if your high when you say that. Their is no way that marijuanna could be a medicine. I hated the feeling of being high, and if you look up Cannabis and mental disorders, then you'll find that cannabis does more harm to you than good(the only reason people say it's good is because it numbs them and makes the pain go away).    I personally think that if they legalize it, then The United States will sooner or later fall apart.",912
marijuana,5,ma35,"Also, it would save the 18 year old A student and college hopeful from losing all his scholarships and having to check  YES  on every application that asks if they've ever been arrested, for the rest of his or her life, just because they had a tiny amount of a plant that is far safer than alcohol.","In the history of mankind, prohibition of any substance that one puts into their own body has never worked.",0.1039,Prohibition violates human rights.,Pro,"1. why does each side have hundreds of points, but there are not arguements?  2. I'm glad you brought up this subject.   In the history of mankind, prohibition of any substance that one puts into their own body has never worked.  Alcohol was no more or less popular during prohibition, than now. The only difference was that instead of States and the feds recieving tons of tax dollars, and the money from alcohol purchase going into the hands of legitimate businesses that employed citizens who contributed to society and paid taxes,  all the money was going to gangsters and thugs.  Well, the same thing is going on now. Marijuana was not made illegal until 1937. Before then the plant was taxed. It employed people. Now it is not taxed, and those who sell it are usually criminals of some sort (though many are harmless)  Still, the amount of marijuana consumed has not diminished one bit.  Cannabis has been used all through recorded history.   link    What makes us think that now, in the last 72 years something about the plant has changed.  Marijuana's illegal status is a historical farce. It's laughable, pointless, and counter productive.  1. Marijuana is a better pain killer, with less harmful side effects than any perscription drug. It costs less (0 if you have dirt and water already) and it's less addictive.  Are there harmful side effects of marijuana? Yes, but no more so than any other drug including alcohol, tobacco, or caffiene.   2. Taxes collected from the sale of marijuana would be in the hundreds of millions, it would give our economy an enourmous boost and employ potentially hundreds of thousands of people.  3. It would take the money from illegal drugs  out of  the hands of criminals.  4. It would be a huge relief on our overcrowded prisons, saving States hundreds of thousands of dollars a year, even millions in States with large prison populations like CA. Also, it would save the 18 year old A student and college hopeful from losing all his scholarships and having to check  YES  on every application that asks if they've ever been arrested, for the rest of his or her life, just because they had a tiny amount of a plant that is far safer than alcohol.  and by all means, come visit my blog sometime, www.crazydrugnews.blogspot.com.",2273
obama,2,oba111,Obama is not a good president.,Obama is not a good president. I would ask anyone who supports him to name something that he has done that will do anything to help the United States. Our country is in worse shape that when he was elected and the fact that he is backing down on virtually all of his promises and policies should tell you something isn't working.,0.1739,Not eligible as a leader.,Con,Obama is not a good president. I would ask anyone who supports him to name something that he has done that will do anything to help the United States. Our country is in worse shape that when he was elected and the fact that he is backing down on virtually all of his promises and policies should tell you something isn't working. We don't need progress. We need principles.,373
