dataset,split,id,gold,pred,rouge_score,argument,stance,comment,comment_length
gayRights,5,gr24,Why not? It is a choice and everybody deserves to get married to the ones they love.,Why not? It is a choice and everybody deserves to get married to the ones they love.,1.0,Gay people should have the same rights as straight people.,Pro,"Instead of wasting my time and replying to everyone about my mistake, im going to state it here.   I should have been more clearer with my argument. I should had said that homosexuals are  not totally wrong  and  not totally right.  Saying that they are will make the contradicting truth false. With this information, im believing that the truth can be contradicting. Contradictions are examples of false information. However, when i evaluate the contradiction i provided, both of them are truthful in their own senses. I went a little off topic but if the author intended us to talk about children, then my argument shouldn't be dismissed.   Now here is my answer to this debate:   Why not? It is a choice and everybody deserves to get married to the ones they love.",767
gayRights,4,gr13,Logic would dictate laws that preventing same sex couples from marriage while allowing heterosexual couples to marry is fundamentally unfair and antiquated.,Logic would dictate laws that preventing same sex couples from marriage while allowing heterosexual couples to marry is fundamentally unfair and antiquated.,1.0,Gay people should have the same rights as straight people.,Pro,"And I loathe stupidity. There is a logical reason to engage in homosexual behavior...it's natural. It doesn't detrimentally affect society, and it does not infringe on another's right to self-determination. Logic would dictate laws that preventing same sex couples from marriage while allowing heterosexual couples to marry is fundamentally unfair and antiquated.",363
gayRights,4,gr127,SEPARATION OF RELIGION AND STATE  you cannot make it illegal for gays to marry just because your precious bible says so.,you cannot make it illegal for gays to marry just because your precious bible says so,0.8649,Religion should not be used against gay rights.,Pro,five words for you-SEPARATION OF RELIGION AND STATE  you cannot make it illegal for gays to marry just because your precious bible says so. Everyone is entitled to their own opinion. But not everybody likes your opinion.   And your opinion can't be made into law.   Sorry little religious angel!,295
gayRights,4,gr385,"You're not born gay   Yes you are, it is quite a detailed answer but if you would like I could go in to it.","Yes you are, it is quite a detailed answer but if you would like I could go in to it.",0.8889,People are born gay.,Pro,"I've been tired of this long ago and can't be bothered to reply anymore.   Then why bother now? If only to have the last say.   You have no morals - because you're gay. OK you may have some morals but not when it comes to this.   Mate I am not Gay and I do have morals especially when it comes to this. Just because I agree with that Gay people should be allowed to marry does not make me Gay, I am married to a women are you?   Your ethics differ - because you think it's OK to be gay   Well, if this isn't stating the obvious.   It's disgusting   This is only to you.   You're not born gay   Yes you are, it is quite a detailed answer but if you would like I could go in to it.   It's wrong.   To you, this does not make it undeniably true.   You're gay. And a paedophile.   No I am not, are you trying to insult me, because coming from you after your tirade of bullshit it is not even in the slightest bit annoying.   Have fun watching 4year olds being raped by 60year olds.   It takes a sick mind to come up with this sort of scenario you may need help.  It is also quite telling of the validity of your arguement that you would drop so low to finish off.",1159
marijuana,5,ma34,"but chemically it can't make you smarter or ""more inspirational"". the problem is that many people might be too stressed to come up with good ideas, and weed makes you fucked up enough to not care","but chemically it can't make you smarter or ""more inspirational"". the problem is that many people might be too stressed to come up with good ideas, and weed makes you fucked up enough to not care. Even potheads will vouche for that.",0.925,Damages our bodies.,Con,"not saying a smart person becomes dumb when smoking weed. but chemically it can't make you smarter or ""more inspirational"". the problem is that many people might be too stressed to come up with good ideas, and weed makes you fucked up enough to not care. Even potheads will vouche for that.  and like i said, i want it to be legal, so that dumb people will be less motivated to mess with me.",391
marijuana,3,ma396,And it is simply ludicrous for our already strained prison and court systems to have to process people for possession and distribution of a substance that is roughly equivalent to substances we accept.,And it is simply ludicrous for our already strained prison and court systems to have to process people for possession and distribution of a substance that is roughly equivalent to substances we accept.,1.0,Prohibition violates human rights.,Pro,"Yes. In comparison to those substances which we allow (alcohol and tobacco being the two most obvious) it is really no worse. It is far less potentially addictive than the other two, does not appear to have nearly as many physical ailments associated with it as tobacco or heavy alcohol use, and is much less likely to incite violence than alcohol. Some argue that this marijuana is a gateway drug. They forget that many people who use other drugs also began drinking first. The reason further drug experimentation is more likely to occur with pot use than with alcohol is not because pot ""leads one to search for a better high"" (otherwise we should expect similar results with alcohol, as it is more ""mellow"" than harder drugs) but is almost certainly because one is legal and the other is not. Legalization also increases the amount of information health agencies can get about its use and make it more likely for heavy users to get treatment. And it is simply ludicrous for our already strained prison and court systems to have to process people for possession and distribution of a substance that is roughly equivalent to substances we accept. And arguably the best point: we could stop using taxpayer money to crack down on dealers and instead tax pot sales via liscenced distributors. This is a particularly timely point given our government's deficit.",1358
marijuana,2,ma102,it's less harmful than Alcohol or Ambien.,"Of course it should, it's less harmful than Alcohol or Ambien.",0.8,Not addictive.,Pro,"Of course it should, it's less harmful than Alcohol or Ambien.   What's good is that more and more politicians are supporting the idea of a debate on the issue (well, Arnold Schwarzaneggar is the most vocal right now). He doesn't say legalize it, but he does believe it's time to look into the situation and see if it should be legalized. Way better than pussy ass Obama who won't even discuss the reasons why he's against legalizing it. All he says is ""that's not gonna happen"". Maybe we should have gotten rid of that Born in America thing and voted in The Governator.",570
marijuana,4,ma229,. The truth is that both tobacco and marijuana have damaging effects. Those who smoke both cigarettes and marijuana suffer the compound consequences of two different drugs destroying their health simultaneously.,The truth is that both tobacco and marijuana have damaging effects. Those who smoke both cigarettes and marijuana suffer the compound consequences of two different drugs destroying their health simultaneously.,1.0,Damages our bodies.,Con,"I truly agree with you that it's no more harmful than tobacco and alcohol , There are many disadvantages from both and in my opinion i wouldn't legalize both of them in our state. According to the scientist David Geffen cigarette smokers may feel that their tobacco addiction is far less harmful than smoking an illegal drug such as marijuana. Marijuana smokers who abstain from tobacco sometimes boast that their drug of choice is safer than cigarettes. The truth is that both tobacco and marijuana have damaging effects. Those who smoke both cigarettes and marijuana suffer the compound consequences of two different drugs destroying their health simultaneously.That's why advice to all smokers don't smoke because you can die early",734
marijuana,1,ma4,The Netherlands model shows that soft drugs can be legalized and it actually improves the society.,The Netherlands model shows that soft drugs can be legalized and it actually improves the society.,1.0,Does not cause any damage to our bodies.,Pro,"It should be legalized. We need to strive for a rational legal code. In relation to tobacco and alcohol, two of the legal drugs, cannabis is hands down the least harmful. It does not have the physically addictive properties of either alcohol or tobacco, cannabis users can stop anytime with withdrawal symptoms on par with or less than that of caffeine withdrawal. More than that, tens of thousands of people die every year from lung cancer and alcohol related accidents and illnesses. If your an alcoholic you can die if you just stop drinking. No one to my knowledge has ever been killed from smoking or quiting cannabis. In addition, cannabis has not been shown to have the carcinogenic effects that tobacco has. Cannabis has even been shown to promote new brain cell development, and its users report wide ranging benefits. The Netherlands model shows that soft drugs can be legalized and it actually improves the society. We need to end the propaganda and misinformation campaign, bring more reason and fairness to our legal code, and legalize cannabis.",1058
marijuana,3,ma136,Marijuana does not hurt anybody.,Marijuana does not hurt anybody.,1.0,Does not cause any damage to our bodies.,Pro,"Common sense does. Have you ever seen people do stupid things while under the influence of marijuana?   So in other words, you have no idea, but simply think that it would? Your ""common sense"" is based on assumption. And Common sense is often wrong for this reason.  Marijuana causes lethargy, which greatly decreases ""dangerous activities"". Someone who is high on Marijuana is not going to rob a bank, or steal a car, however there is a good chance they will sit on the couch and stare in amazement as a piece of lint floats by, or watch a movie about talking animals.   But for the sake of argument lets say it doesn't cause any harmful mind altering effects (which I'm sure you'll argue next).   Heavy long term usage can impair short-term memory, outside of that there really isn't any. Drinking bleach isn't all that good, yet it is not illegal.    Do you know of anyone who has been fired for marijuana use?   Not personally, no.   There's a lot of companies that would fire people for that even if it wasn't illegal.   SO???  A lot of companies will fire people for showing up late to work, should that be illegal?   When people don't have an income, they get desperate, especially when they want more money for their next fix. Desperate people do desperate (and often illegal) things.   {Laughs!}  Their ""fix""?  {Laughs some more}  Thank you for demonstrating you have absolutely no idea what you're talking about. The sad thing is that a lot of people don't know why that's so funny. We aren't talking about heroine here, we're talking about weed. There's no such thing as a marijuana ""fix"". Marijuana is not addictive. People DONT go through marijuana withdraws, people can go through caffeine withdraws. Marijuana is less addictive than caffeine, which is why your statement that they ""need to get their fix"" is incredibly asinine. You obviously don't know anything about marijuana, which is funny because you want it to be illegal.  Let me further demonstrate why this statement is idiotic.  Desperate people, will sometimes do desperate (and often illegal) things, such as stealing a car....therefore we should outlaw cars. Following your logic.  Prohibition obviously doesn't work, which is why so many people still do marijuana, many people are sitting behind bars (costing taxpayer dollars) who should not be there in the first place. Marijuana does not hurt anybody.  I don't even like marijuana, but I can't think of a single good reason for it to be illegal.",2477
marijuana,1,ma257,there are no deaths related to the actual use for marijuana this past year or ever in terms of health reasons.,"Yes, there are no deaths related to the actual use for marijuana this past year or ever in terms of health reasons.",0.9767,Does not cause any damage to our bodies.,Pro,"Yes, there are no deaths related to the actual use for marijuana this past year or ever in terms of health reasons.",115
marijuana,5,ma289,it is critically different from claiming that lasting brain damage occurs.,However it is critically different from claiming that lasting brain damage occurs.,0.9565,Does not cause any damage to our bodies.,Pro,This make you want to smoke mary? :) cus it certainly doesnt apeal to me.   Then don't smoke it. However it is critically different from claiming that lasting brain damage occurs.,179
obama,5,oba83,why has he not done anything about the Illegal aliens problem ? Other than it sure appears he will be allowing Criminal to have citizenship.,why has he not done anything about the Illegal aliens problem ? Other than it sure appears he will be allowing Criminal to have citizenship,1.0,Ineffective foreign policies.,Con,"The Obama Plan is in full function , he is bringing America down. A Liberal would lie even if the truth fit better..if you can not see what the Democratic Party is up too , then you need help.Obama is not the one running the show , he was put there for a reason , the Minority vote , the feel sorry for the unfortunate minority to gain more control. why has he not done anything about the Illegal aliens problem ? Other than it sure appears he will be allowing Criminal to have citizenship. Oh yes , he did not kill Ben laden either, navy Seals did..if that is even true , would not surprise me if it was all fabricated to create Stardom for Obama, you think he is starting to think about re elections? well is that special or what?",732
obama,4,oba110,"Increased funding for national parks and forests in 2010, and plans to do it again for FY 2011","Increased funding for national parks and forests in 2010, and plans to do it again for FY 2011",1.0,Makes good decisions/policies.,Pro,"* Increased funding for national parks and forests in 2010, and plans to do it again for FY 2011:   http://www.defenders.org/newsroom/ press_releases_folder/2010/ 02_01_2010_obamas_budget_includes_key_ funding_for_land_and_water.php",232
obama,1,oba371,A jobless economic recovery.....unemployment numbers going up not down.,A jobless economic recovery.....unemployment numbers going up not down,1.0,Unemployment rate is high.,Con,A jobless economic recovery.....unemployment numbers going up not down.  When he took office all he cared about was the Health Care issue...he concentrated on that....which today is a fiasco and the American people do not want it.   He said war would end troops will come home. He lied. Now he is pledging that they come home a year from September....wow two months from ELECTION. He is a master manipulator.  He never delivered the positive change he promised. His change is NOT what the American people expected and wanted.   He has a socialist vision for America and has employed socialist czars to carry it out. Look at the list of self confessed socialist friends he has and has appointed.,694
obama,5,oba94,I don't care if they dig up Moe Howard...I'd rather vote for him.,I don't care if they dig up Moe Howard...I'd rather vote for him.,1.0,We have better republicans than Obama.,Con,I don't care if they dig up Moe Howard...I'd rather vote for him.,65
obama,1,oba97,"He's a people president, he actually cares about American citizens.","He's a people president, he actually cares about American citizens.",1.0,Has qualities of a good leader.,Pro,"He's a people president, he actually cares about American citizens.",67
obama,4,oba426,"I'm pro obama since he hasn't royally screwed up like bush. and it was either him or McCain, and with Sarah as Macons vice, if something ever happened to McCain and Sarah became president...I'm sorry but i wouldn't be willing to take the risk.","since he hasn't royally screwed up like bush. and it was either him or McCain, and with Sarah as Macons vice, if something ever happened to McCain and Sarah became president...I'm sorry but i wouldn't be willing to take the risk.",0.9574,Better than the republican candidates.,Pro,"I'm British/American, currently living in wales, but I'm pro obama since he hasn't royally screwed up like bush. and it was either him or McCain, and with Sarah as Macons vice, if something ever happened to McCain and Sarah became president...I'm sorry but i wouldn't be willing to take the risk.",296
obama,4,oba24,"Announced a plan to responsibly end the war in Iraq:   http://www.nytimes.com/2009/02/28/ washington/28troops.html    (and has reduced troops to under 50,000 as of now)","Announced a plan to responsibly end the war in Iraq:   http://www.nytimes.com/2009/02/28/ washington/28troops.html    (and has reduced troops to under 50,000 as of now)",1.0,Ending the wars.,Pro,"* Announced a plan to responsibly end the war in Iraq:   http://www.nytimes.com/2009/02/28/ washington/28troops.html    (and has reduced troops to under 50,000 as of now)",170
obama,4,oba284,"Yeah that legislation is working great now that the housing market is out of the economic trough. OHH wait, it isn't.","Yeah that legislation is working great now that the housing market is out of the economic trough. OHH wait, it isn't.",1.0,Destroyed our economy.,Con,"New Home, Congrats. Yeah that legislation is working great now that the housing market is out of the economic trough. OHH wait, it isn't.",137
